Symbol	GoldenPathhg38(Mb)	Location	Description
SRY	2786.855	Yp11.2	sex determining region Y
RPS4Y1	2841.582	Yp11.2	ribosomal protein S4 Y-linked 1
ZFY	2935.477	Yp11.2	zinc finger protein Y-linked
ZFY-AS1	2966.819	Yp11.2	ZFY antisense RNA 1
LINC00278	3002.996	Yp11.2	long intergenic non-protein coding RNA 278
TGIF2LY	3579.067	Yp11.2	TGFB induced factor homeobox 2 like Y-linked
PCDH11Y	5056.09	Yp11.2	protocadherin 11 Y-linked
TTTY23B	6242.446	Yp11.2	"testis-specific transcript, Y-linked 23B"
TTTY23	6242.446	Yp11.2	"testis-specific transcript, Y-linked 23"
TSPY2	6246.223	Yp11.2	testis specific protein Y-linked 2
FAM197Y9	6258.333	Yp11.2	family with sequence similarity 197 Y-linked member 9
LINC00280	6357.219	Yp11.2	long intergenic non-protein coding RNA 280
TTTY1B	6390.401	Yp11.2	"testis-specific transcript, Y-linked 1B"
TTTY1	6390.401	Yp11.2	"testis-specific transcript, Y-linked 1"
TTTY2B	6406.244	Yp11.2	"testis-specific transcript, Y-linked 2B"
TTTY2	6406.244	Yp11.2	"testis-specific transcript, Y-linked 2"
TTTY21B	6443.434	Yp11.2	"testis-specific transcript, Y-linked 21B"
TTTY21	6443.434	Yp11.2	"testis-specific transcript, Y-linked 21"
TTTY7B	6449.468	Yp11.2	"testis-specific transcript, Y-linked 7B"
TTTY7	6449.468	Yp11.2	"testis-specific transcript, Y-linked 7"
TTTY8B	6471.031	Yp11.2	"testis-specific transcript, Y-linked 8B"
TTTY8	6471.031	Yp11.2	"testis-specific transcript, Y-linked 8"
AMELY	6865.918	Yp11.2	amelogenin Y-linked
TBL1Y	6910.686	Yp11.2	transducin beta like 1 Y-linked
TTTY16	7699.357	Yp11.2	"testis-specific transcript, Y-linked 16"
TTTY12	7804.924	Yp11.2	"testis-specific transcript, Y-linked 12"
LINC00279	8638.294	Yp11.2	long intergenic non-protein coding RNA 279
TTTY18	8683.37	Yp11.2	"testis-specific transcript, Y-linked 18"
TTTY19	8704.472	Yp11.2	"testis-specific transcript, Y-linked 19"
TTTY11	8783.32	Yp11.2	"testis-specific transcript, Y-linked 11"
RBMY1A3P	9317.061	Yp11.2	"RNA binding motif protein Y-linked family 1 member A3, pseudogene"
TTTY20	9329.88	Yp11.2	"testis-specific transcript, Y-linked 20"
TSPY10	9337.464	Yp11.2	testis specific protein Y-linked 10
TSPY3	9337.464	Yp11.2	testis specific protein Y-linked 3
TSPY4	9337.51	Yp11.2	testis specific protein Y-linked 4
TSPY8	9337.51	Yp11.2	testis specific protein Y-linked 8
FAM197Y2	9349.58	Yp11.2	family with sequence similarity 197 Y-linked member 2
FAM197Y2	9349.58	Yp11.2	family with sequence similarity 197 Y-linked member 2
FAM197Y4	9349.58	Yp11.2	family with sequence similarity 197 Y-linked member 4
FAM197Y5	9349.58	Yp11.2	family with sequence similarity 197 Y-linked member 5
FAM197Y5	9349.58	Yp11.2	family with sequence similarity 197 Y-linked member 5
FAM197Y7	9349.58	Yp11.2	family with sequence similarity 197 Y-linked member 7
FAM197Y8	9349.58	Yp11.2	family with sequence similarity 197 Y-linked member 8
FAM197Y6	9390.191	Yp11.2	family with sequence similarity 197 Y-linked member 6
TSPY1	9466.955	Yp11.2	testis specific protein Y-linked 1
FAM197Y3	9499.341	Yp11.2	family with sequence similarity 197 Y-linked member 3
RBMY3AP	9610.721	Yp11.2	"RNA binding motif protein Y-linked family 3 member A, pseudogene"
TTTY22	9801.153	Yp11.2	"testis-specific transcript, Y-linked 22"
GYG2P1	12406.116	Yq11.221	glycogenin 2 pseudogene 1
TTTY15	12662.367	Yq11.221	"testis-specific transcript, Y-linked 15"
USP9Y	12701.231	Yq11.221	ubiquitin specific peptidase 9 Y-linked
DDX3Y	12904.868	Yq11.221	DEAD-box helicase 3 Y-linked
